Name: 0-100-EW-1, Optimal Price: 2000.0
Name: 0-100-EW-2, Optimal Price: 1840.0
Name: 0-100-EW-3, Optimal Price: 1360.0
Name: 0-100-EW-4, Optimal Price: 920.0
Name: 0-100-EW-5, Optimal Price: 560.0
Name: 0-100-NS-1, Optimal Price: 2000.0
Name: 0-100-NS-2, Optimal Price: 2000.0
Name: 0-100-NS-3, Optimal Price: 2000.0
Name: 0-100-NS-4, Optimal Price: 2000.0
Name: 0-100-NS-5, Optimal Price: 1020.0
Name: 0-300-EW-1, Optimal Price: 1400.0000000000002
Name: 0-300-EW-2, Optimal Price: 820.0000000000001
Name: 0-300-EW-3, Optimal Price: 560.0
Name: 0-300-EW-4, Optimal Price: 420.00000000000006
Name: 0-300-EW-5, Optimal Price: 300.00000000000006
Name: 0-300-NS-1, Optimal Price: 1600.0
Name: 0-300-NS-2, Optimal Price: 1080.0
Name: 0-300-NS-3, Optimal Price: 740.0
Name: 0-300-NS-4, Optimal Price: 480.00000000000006
Name: 0-300-NS-5, Optimal Price: 400.0
Name: 0-courtside-1, Optimal Price: 2000.0
Name: 0-courtside-2, Optimal Price: 2000.0
Name: 0-courtside-3, Optimal Price: 2000.0
Name: 0-courtside-4, Optimal Price: 2000.0
Name: 0-courtside-5, Optimal Price: 2000.0
Name: 1-100-EW-1, Optimal Price: 2000.0
Name: 1-100-EW-2, Optimal Price: 2000.0
Name: 1-100-EW-3, Optimal Price: 2000.0
Name: 1-100-EW-4, Optimal Price: 1160.0000000000002
Name: 1-100-EW-5, Optimal Price: 800.0
Name: 1-100-NS-1, Optimal Price: 2000.0
Name: 1-100-NS-2, Optimal Price: 2000.0
Name: 1-100-NS-3, Optimal Price: 2000.0
Name: 1-100-NS-4, Optimal Price: 2000.0
Name: 1-100-NS-5, Optimal Price: 1440.0
Name: 1-300-EW-1, Optimal Price: 2000.0
Name: 1-300-EW-2, Optimal Price: 1200.0
Name: 1-300-EW-3, Optimal Price: 760.0
Name: 1-300-EW-4, Optimal Price: 480.00000000000006
Name: 1-300-EW-5, Optimal Price: 400.0
Name: 1-300-NS-1, Optimal Price: 2000.0
Name: 1-300-NS-2, Optimal Price: 1580.0
Name: 1-300-NS-3, Optimal Price: 1000.0
Name: 1-300-NS-4, Optimal Price: 540.0
Name: 1-300-NS-5, Optimal Price: 540.0
Name: 1-courtside-1, Optimal Price: 2000.0
Name: 1-courtside-2, Optimal Price: 2000.0
Name: 1-courtside-3, Optimal Price: 2000.0
Name: 1-courtside-4, Optimal Price: 2000.0
Name: 1-courtside-5, Optimal Price: 2000.0
