datetime_utc,venue,home_team,away_team,listing_count,visible_listing_count,average_price,lowest_price_good_deals,lowest_price,highest_price,median_price,attendance
2023-11-14T00:30:00,Scotiabank Arena,Toronto Raptors,Washington Wizards,1049,658,283,42,42,115504,169,18751
2023-11-16T00:30:00,Scotiabank Arena,Toronto Raptors,Milwaukee Bucks,1170,741,411,56,56,15236,230,18630
2023-11-18T00:30:00,Scotiabank Arena,Toronto Raptors,Boston Celtics,1242,766,444,78,78,6753,272,18558
2023-11-19T23:00:00,Scotiabank Arena,Toronto Raptors,Detroit Pistons,1126,720,299,58,58,11028,195,18674
2023-11-25T00:30:00,Scotiabank Arena,Toronto Raptors,Chicago Bulls,1116,762,340,60,59,7058,223,18684
2023-11-30T00:30:00,Scotiabank Arena,Toronto Raptors,Phoenix Suns,1462,962,410,63,63,17330,250,18338
2023-12-02T00:30:00,Scotiabank Arena,Toronto Raptors,New York Knicks,1406,943,361,61,61,13237,231,18394
2023-12-14T00:30:00,Scotiabank Arena,Toronto Raptors,Atlanta Hawks,1253,872,230,35,35,7247,136,18547
2023-12-16T00:30:00,Scotiabank Arena,Toronto Raptors,Atlanta Hawks,1280,892,298,50,50,9739,179,18520
2023-12-19T00:30:00,Scotiabank Arena,Toronto Raptors,Charlotte Hornets,1154,803,246,36,36,7906,150,18646
2023-12-21T00:30:00,Scotiabank Arena,Toronto Raptors,Denver Nuggets,1007,684,462,70,70,11973,276,18793
2023-12-24T00:30:00,Scotiabank Arena,Toronto Raptors,Utah Jazz,1204,826,416,56,56,16060,257,18596
2024-01-02T00:30:00,Scotiabank Arena,Toronto Raptors,Cleveland Cavaliers,1133,808,358,52,52,9062,243,18667
2024-01-16T00:30:00,Scotiabank Arena,Toronto Raptors,Boston Celtics,1116,818,432,64,64,18530,264,18684
2024-01-18T00:30:00,Scotiabank Arena,Toronto Raptors,Miami Heat,998,743,343,54,54,6585,224,18802
2024-01-19T00:30:00,Scotiabank Arena,Toronto Raptors,Chicago Bulls,1142,813,348,60,60,12133,201,18658
2024-01-23T00:30:00,Scotiabank Arena,Toronto Raptors,Memphis Grizzlies,1164,818,335,60,60,5303,210,18636
2024-01-27T00:30:00,Scotiabank Arena,Toronto Raptors,Los Angeles Clippers,960,713,413,78,78,5260,248,18840
2024-02-10T00:30:00,Scotiabank Arena,Toronto Raptors,Houston Rockets,1076,789,384,58,58,7448,249,18724
2024-02-11T00:30:00,Scotiabank Arena,Toronto Raptors,Cleveland Cavaliers,924,705,382,50,50,14566,235,18876
2024-02-13T00:30:00,Scotiabank Arena,Toronto Raptors,San Antonio Spurs,947,737,411,67,67,6877,262,18853
2024-02-15T00:30:00,Scotiabank Arena,Toronto Raptors,Indiana Pacers,995,743,263,37,37,10314,156,18805
2024-02-23T00:00:00,Scotiabank Arena,Toronto Raptors,Brooklyn Nets,1051,772,283,49,49,3709,168,18749
2024-02-29T00:30:00,Scotiabank Arena,Toronto Raptors,Dallas Mavericks,1008,750,402,60,60,15443,244,18792
2024-03-02T00:30:00,Scotiabank Arena,Toronto Raptors,Golden State Warriors,910,741,660,140,140,7748,423,18890
2024-03-03T23:00:00,Scotiabank Arena,Toronto Raptors,Charlotte Hornets,769,637,314,38,38,10314,159,19031
2024-03-06T00:30:00,Scotiabank Arena,Toronto Raptors,New Orleans Pelicans,1023,774,283,49,49,6141,163,18777
2024-03-15T23:30:00,Scotiabank Arena,Toronto Raptors,Orlando Magic,1011,760,344,65,65,12710,195,18789
2024-03-20T23:30:00,Scotiabank Arena,Toronto Raptors,Sacramento Kings,1036,773,306,47,47,13520,169,18764
2024-03-22T23:00:00,Scotiabank Arena,Toronto Raptors,Oklahoma City Thunder,867,690,379,58,58,11555,206,18933
2024-03-25T23:30:00,Scotiabank Arena,Toronto Raptors,Brooklyn Nets,981,749,259,34,34,6141,157,18819
2024-03-27T23:30:00,Scotiabank Arena,Toronto Raptors,New York Knicks,964,734,331,44,44,12133,190,18836
2024-03-31T22:00:00,Scotiabank Arena,Toronto Raptors,Philadelphia 76ers,889,706,389,61,61,5840,232,18911
2024-04-02T23:00:00,Scotiabank Arena,Toronto Raptors,Los Angeles Lakers,878,704,773,150,150,21618,396,18922
2024-04-07T22:00:00,Scotiabank Arena,Toronto Raptors,Washington Wizards,813,648,276,55,55,5008,153,18987
2024-04-09T23:00:00,Scotiabank Arena,Toronto Raptors,Indiana Pacers,1030,788,299,49,49,11028,159,18770
